Model,Rank,CV_F1,CV_Std,Config
XGBoost,28,0.8249702306313136,0.02717742452378043,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,29,0.824964987059332,0.01927622079473997,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,30,0.8247892809245437,0.024270855384343804,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,31,0.8247418560392197,0.0169329135647505,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,32,0.824718533163989,0.02352460727930351,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,33,0.8244108262176605,0.021989605782953166,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,34,0.8243329033142552,0.02675842423876508,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,35,0.8243309953586069,0.018984376720914867,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,36,0.824243795308214,0.02267550252028235,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,37,0.8238897649040396,0.02082604339606797,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,38,0.82378667467115,0.01687270414973764,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,2,0.8234906339438757,0.02656198682361123,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 150}"
RandomForest,3,0.8231417755418067,0.022929004862982917,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 20, 'n_estimators': 100}"
RandomForest,4,0.8231205806326459,0.0262097061278912,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 200}"
XGBoost,39,0.8229307130048593,0.023408213614858092,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,40,0.822655511167232,0.02478082258415129,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,41,0.8225757106146032,0.026200258551375536,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,42,0.8224422103792633,0.01901908845428383,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,43,0.822403828082652,0.02427455304249827,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,5,0.822397925142735,0.021511001513027803,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 15, 'n_estimators': 100}"
XGBoost,44,0.8220085732261696,0.020316022693425664,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,6,0.8219488257689381,0.022355465227271647,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 100}"
XGBoost,45,0.8219034221286904,0.02638921353302959,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,46,0.8218647454268829,0.016114052538939574,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,7,0.8218583443132562,0.024943199272778854,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 15, 'n_estimators': 150}"
RandomForest,8,0.8217864865058783,0.034195753689972144,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 15, 'n_estimators': 200}"
XGBoost,47,0.8217606236501626,0.02738845272657045,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,48,0.8216372777394436,0.020468650555913296,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,49,0.8215706629491646,0.021197705135137922,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,50,0.8215413930966328,0.025468272622213066,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
