k,cv_f1,cv_std
5000,0.7043520325340468,0.013497547783083952
10000,0.7656831250686963,0.022095110149342973
15000,0.7744459174534072,0.0057270343317154596
20000,0.7669385432753537,0.004314699391995775
30000,0.778929819222113,0.010056256416931844
